,target,source,targ_word,src_word,alternatives,analogy_type
0,m n o p,l n o p,f x h x j x l x n x p x r x t x,d x h x j x l x n x p x r x t x,,letter_analogy_3gen_split3
1,d c b e f,b c d e f,19 0 17 0 15 0 21 0 23 0,15 0 17 0 19 0 21 0 23 0,,letter_analogy_3gen_split3
2,w u v t x,t u v w x,2 2 3 3 4 4 6 6 5 5 7 7 8 8 9 9 10 10,2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10,,letter_analogy_3gen_split3
3,m n n o p q,m n o p q,17 16 15 14 13 13 12 11 10 9,17 16 15 14 13 12 11 10 9,,letter_analogy_3gen_split3
4,h i j k,h i j l,11 11 12 12 13 13 14 14 15 15 16 16 17 17 18 18,11 11 12 12 13 13 14 14 15 15 16 16 17 17 19 19,,letter_analogy_3gen_split3
5,c d e f j,c d e f g,5 7 9 11 13 15 17 18 21,5 7 9 11 13 15 17 19 21,,letter_analogy_3gen_split3
6,h i j k,h i j l,8 8 7 7 6 6 5 5,8 8 7 7 6 6 4 4,,letter_analogy_3gen_split3
7,e i g h f,e f g h i,x x t x v x r x p x,x x v x t x r x p x,,letter_analogy_3gen_split3
8,e f g h,e f g i,10 10 9 9 8 8 7 7,10 10 9 9 8 8 6 6,,letter_analogy_3gen_split3
9,r s q u v,r s t u v,p p x x q q x x s s x x u u x x w w x x,o o x x q q x x s s x x u u x x w w x x,,letter_analogy_3gen_split3
10,n o p q,n o p r,h h j j l l n n p p r r t t v v,h h j j l l n n p p r r t t x x,,letter_analogy_3gen_split3
11,b c d s f,b c d e f,24 22 20 6 16,24 22 20 18 16,,letter_analogy_3gen_split3
12,k i m n o,k l m n o,3 3 0 0 2 2 0 0 5 5 0 0 6 6 0 0 7 7 0 0,3 3 0 0 4 4 0 0 5 5 0 0 6 6 0 0 7 7 0 0,,letter_analogy_3gen_split3
13,h q j k l,h i j k l,1 1 22 22 5 5 7 7 9 9,1 1 3 3 5 5 7 7 9 9,,letter_analogy_3gen_split3
14,c d e f,c d e g,o o x x p p x x q q x x r r x x s s x x t t x x u u x x v v x x,o o x x p p x x q q x x r r x x s s x x t t x x u u x x w w x x,,letter_analogy_3gen_split3
15,f g h i,f g h i j,z z x x y y x x x x x x w w x x,z z x x y y x x x x x x w w x x v v x x,,letter_analogy_3gen_split3
16,k l m m n o,k l m n o,2 0 4 0 6 0 8 0 10 0 10 0,2 0 4 0 6 0 8 0 10 0,,letter_analogy_3gen_split3
17,h i j k,h i j k l,o x m x k x i x,o x m x k x i x g x,,letter_analogy_3gen_split3
18,g h i i j k,g h i j k,r p n l j h h f d b,r p n l j h f d b,,letter_analogy_3gen_split3
19,p q k s t,p q r s t,1 0 14 0 13 0 12 0 11 0,15 0 14 0 13 0 12 0 11 0,,letter_analogy_3gen_split3
20,i g h f j,f g h i j,e e i i g g k k c c,k k i i g g e e c c,,letter_analogy_3gen_split3
21,u v x w y,u v w x y,5 21 9 11 13 15 17 19 7,5 7 9 11 13 15 17 19 21,,letter_analogy_3gen_split3
22,m n o p,l n o p,q q o o m m k k,s s o o m m k k,,letter_analogy_3gen_split3
23,w u v t x,t u v w x,18 0 20 0 24 0 22 0 26 0,18 0 20 0 22 0 24 0 26 0,,letter_analogy_3gen_split3
24,d e f g,d e f h,a x c x e x g x i x k x m x o x,a x c x e x g x i x k x m x q x,,letter_analogy_3gen_split3
25,q r s t,q r s t u,f f x x g g x x h h x x i i x x j j x x k k x x l l x x m m x x,f f x x g g x x h h x x i i x x j j x x k k x x l l x x m m x x n n x x,,letter_analogy_3gen_split3
26,g h i j,g h i j k,h h j j l l n n p p r r t t v v,h h j j l l n n p p r r t t v v x x,,letter_analogy_3gen_split3
27,s t u v,r t u v,4 6 8 10 12 14 16 18,2 6 8 10 12 14 16 18,,letter_analogy_3gen_split3
28,i j k l,h j k l,r x p x n x l x,t x p x n x l x,,letter_analogy_3gen_split3
29,p u v w x,t u v w x,10 10 9 9 8 8 3 3 6 6,10 10 9 9 8 8 7 7 6 6,,letter_analogy_3gen_split3
30,m k l j n,j k l m n,s s x x q q x x r r x x p p x x o o x x,s s x x r r x x q q x x p p x x o o x x,,letter_analogy_3gen_split3
31,e d c f g,c d e f g,f f h h j j p p n n l l r r t t v v,f f h h j j l l n n p p r r t t v v,,letter_analogy_3gen_split3
32,n o p q,n o p r,d d f f h h j j l l n n p p r r,d d f f h h j j l l n n p p t t,,letter_analogy_3gen_split3
33,i j k l,i j k m,2 0 4 0 6 0 8 0,2 0 4 0 6 0 10 0,,letter_analogy_3gen_split3
34,j i k l m,i j k l m,k k x x g g x x h h x x i i x x j j x x f f x x l l x x m m x x n n x x,f f x x g g x x h h x x i i x x j j x x k k x x l l x x m m x x n n x x,,letter_analogy_3gen_split3
35,e f g h b,e f g h i,j j h h f f w w b b,j j h h f f d d b b,,letter_analogy_3gen_split3
36,j k l m,j k l n,17 0 19 0 21 0 23 0,17 0 19 0 21 0 25 0,,letter_analogy_3gen_split3
37,t w x y z,v w x y z,d d z z h h j j l l n n p p r r t t,d d f f h h j j l l n n p p r r t t,,letter_analogy_3gen_split3
38,s t u u v w,s t u v w,c c e e g g i i k k k k m m o o q q s s,c c e e g g i i k k m m o o q q s s,,letter_analogy_3gen_split3
39,h h i j k l,h i j k l,9 7 5 3 1 1,9 7 5 3 1,,letter_analogy_3gen_split3
40,s t p v w,s t u v w,g g x x h h x x i i x x p p x x k k x x l l x x m m x x n n x x o o x x,g g x x h h x x i i x x j j x x k k x x l l x x m m x x n n x x o o x x,,letter_analogy_3gen_split3
41,h i j k,g i j k,w x v x u x t x s x r x q x p x,x x v x u x t x s x r x q x p x,,letter_analogy_3gen_split3
42,m n o p w,m n o p q,h h j j l l n n p p r r t t v v c c,h h j j l l n n p p r r t t v v x x,,letter_analogy_3gen_split3
43,q r s t,q r s t u,13 11 9 7,13 11 9 7 5,,letter_analogy_3gen_split3
44,e f g h h i,e f g h i,8 10 12 14 16 18 20 22 22 24,8 10 12 14 16 18 20 22 24,,letter_analogy_3gen_split3
45,k l m n,k l m n o,y y x x x x x x w w x x v v x x,y y x x x x x x w w x x v v x x u u x x,,letter_analogy_3gen_split3
46,j k l m m n,j k l m n,19 18 17 16 15 14 13 12 11 11,19 18 17 16 15 14 13 12 11,,letter_analogy_3gen_split3
47,s t u v,r t u v,4 4 0 0 5 5 0 0 6 6 0 0 7 7 0 0,3 3 0 0 5 5 0 0 6 6 0 0 7 7 0 0,,letter_analogy_3gen_split3
48,p q r s,p q r t,o o m m k k i i,o o m m k k g g,,letter_analogy_3gen_split3
49,n o p q,n o p q r,k k j j i i h h g g f f e e d d,k k j j i i h h g g f f e e d d c c,,letter_analogy_3gen_split3
